Name,District,State,Address,Contact Number,Contact number 2,Location:latitude ,Location: longitude
Narayanpur Police Station, Lakhimpur,Assam,"Bor Khamti, Assam 784164",8876478890,,26.9629656041977,93.8642936372307
Majuli Police Station,Majuli,Assam,"W5V7+WW6, Kamalabari Chariali, Assam 785106",9678874151,,26.9447954002471,94.1647538711791
Garmur Police Station,Majuli,Assam,"P7W3+P3C, Garmur, Naosolia Gaon, Assam 785007",9435736660,,26.7468301671721,94.2526277083102
Dhakhi Majuli,Majuli,Assam,"QXPP+PRQ, Unnamed Road, Sawguri Miri, Assam 785703",9954641110,,26.7868484432155,93.9871159549288
Jengraimukh Police Station,Majuli,Assam,"Jengraimukh, Jengrai Miri Gaon, Assam 785105",3775272061,6901258388,27.0794930726263,94.2820691512754
Morigaon Police Station,Morigaon,Assam,"Telahi - Morigaon Road, Rajagaon, Morigaon, Assam, 782105",7002209903,,26.2505358130022,92.3408478595433
Jagiroad Police Station,Morigaon,Assam,"45CX+67Q, Jagiroad, Assam 782413",9954784774,,26.1206051607952,92.1982496295435
Mayong Police Station,Morigaon,Assam,"726P+W9F, Mayang, Assam 782411",9954713956,9101464525,26.2623251953998,92.0359344722814
Dharmtul Police Station,Morigaon,Assam,"59RJ+WR5, Dharamtul, Assam 782412",7002940398,,26.1922842531499,92.3821076352556
Laharighat Police Station,Morigaon,Assam,"C89R+VGR, Laharighat, Assam 782127",9954979550,,26.4197392123705,92.3412816451785
Mikirbheta Police Station,Morigaon,Assam,"8FG4+4C8, Thengkhali, Assam 782106",3678240238,9859152523,26.3253000129682,92.4560817863322
Moirabari Police Station,Morigaon,Assam,"FC3G+RX3, Moirabari, Tatikata Pathar, Assam 782126",9435063172,8812815498,26.4545409827273,92.4274328734695
Bhuragaon Police Station,Morigaon,Assam,"Passali, Bhuragaon, Bordooba Toop, Assam 782121",9435526655,,26.3888710656553,92.2292866494052
Bhelowguri Police Station,Morigaon,Assam,"F92C+M6H, Saulmari, Assam 782126",9954338694,,26.4516893780570,92.3705951625242
Nagaon Sadar Police Station,Nagaon,Assam,"8MWQ+F46, NH 36, Haibargaon, Daccapatty, Nagaon, Assam 782001",9435183044,,26.3461615943720,92.6877649981682
Jajori Police Station,Nagaon,Assam,"8HC8+84G, Jajori - Dhing Rd, Paghali, Jajari, Assam 782142",3672288456,9127187113,26.3208133897197,92.5653358367669
Kaliabor Police Station,Nagaon,Assam,"Kaliabor, Nagaon, NH-37, Assam Trunk Road, Nagaon, Nagaon, Assam 782137",3672276624,9435079375,26.5483935139049,92.9323801107369
Rupahihat Police Station,Nagaon,Assam,"CP7R+J94, Rupahi BhakatGaon, Near PNB Bank Rupahi PO-Rupahi, PS, Hat, Rupahi, Assam 782125",8638146237,,26.4140353481423,92.7409524618135
Juria Police Station,Nagaon,Assam,"CMR2+WHQ, Juria, Theo Tangani, Assam 782124",9435251811,8876361584,26.4423360564733,92.6514669126151
Khatowal Police Station,Nagaon,Assam,"CQ7X+7CR Nr Gaon Panchayat Office, PO, Niz Khatowal, Boranga Toli, Assam 782125",9577160893,,26.4129363596943,92.7987470784715
Samaguri Police Station,Nagaon,Assam,"CR7P+5X3, Assam Trunk Rd, Samaguri, Assam 782140",8811030620,8486540641,26.4128942015379,92.8374128958431
Raha Police Station,Nagaon,Assam,"6GHC+P8V, Raha Gaon, Garmari, Assam 782103",9435095234,,26.2293890988657,92.5207843657614
Dhing Police Station,Nagaon,Assam,"FF9F+R7H, Dhing Chariali, Dhing, Assam 782123",9435060728,,26.4695687813485,92.4732174898868
Kachua Police Station,Nagaon,Assam,"3JVX+55V, Kachua No.1, Kandapara, Assam 782426",9954931480,,26.0930001441069,92.6479168801477
Jakhalabandha Police Station,Nagaon,Assam,"HXMV+22R, Jakhalabandha, Assam 782136",8471835820,,26.5826525583419,92.9925264688748
Nalbari Police Station,Nalbari,Assam,"CCVP+9WQ, Nalbari-Hajo-Guwahati Road, Nalbari, Assam 781335",3624220445,7002213984,26.4434692411684,91.4373530311777
Belsor police station,Nalbari,Assam,"99Q3+F83, Belsor, Belshor, Assam 781304",9678538846,,26.3886538288008,91.3531928104419
Mukalmua Police Station,Nalbari,Assam,"79C2+M8Q, Mukalmua, Assam 781126",9101887419,,26.2717300463578,91.3508615507221
Ghograpar Police Station,Nalbari,Assam,"FG3F+HR9, Ghograpar, NH 31, Assam 781369",7002273254,,26.4539193581129,91.5247233362239
Tihu Police Station,Nalbari,Assam,"Tihu, Assam 781371",8638966183,,26.4768752154574,91.2690034880660
